REPORT_ID,Total Cas,Total Fats,Total SI,Total MI,CSEF Severity,Licence Type,Number Occupants,Drugs Involved,Area Speed,Crash Type,Position Type,DayNight,DUI Involved,Weather Cond
2017-533-8/11/2018,0,0,0,0,1: PDO,Full,1,,110,Roll Over,T-Junction,Daylight,,Not Raining
2017-534-8/11/2018,0,0,0,0,1: PDO,,1,,60,Hit Fixed Object,Divided Road,Daylight,,Not Raining
2017-535-8/11/2018,0,0,0,0,1: PDO,Full,1,,50,Right Angle,Cross Road,Daylight,,Not Raining
2017-536-8/11/2018,0,0,0,0,1: PDO,,,,60,Side Swipe,Divided Road,Daylight,,Not Raining
2017-537-8/11/2018,0,0,0,0,1: PDO,Full,1,,110,Hit Object on Road,Not Divided,Night,,Not Raining
2017-538-8/11/2018,1,0,0,1,2: MI,Full,1,,50,Right Angle,Cross Road,Daylight,,Not Raining
2017-539-8/11/2018,0,0,0,0,1: PDO,Learners,2,,70,Rear End,Cross Road,Daylight,,Not Raining
2017-540-8/11/2018,1,0,0,1,2: MI,Full,2,,60,Side Swipe,Divided Road,Daylight,,Not Raining
2017-541-8/11/2018,0,0,0,0,1: PDO,Provisional 1 ,1,,80,Head On,Multiple,Daylight,,Not Raining
2017-542-8/11/2018,1,0,0,1,2: MI,Full,1,,50,Right Turn,T-Junction,Daylight,,Not Raining
2017-543-8/11/2018,1,0,0,1,2: MI,Full,1,,60,Right Angle,Divided Road,Daylight,,Not Raining
2017-544-8/11/2018,0,0,0,0,1: PDO,Unknown,2,,110,Other,Not Divided,Daylight,,Not Raining
2017-545-8/11/2018,0,0,0,0,1: PDO,Full,1,,50,Hit Parked Vehicle,Not Divided,Daylight,,Not Raining
2017-546-8/11/2018,1,0,1,0,3: SI,Full,1,,40,Right Angle,Cross Road,Daylight,,Not Raining
2017-547-8/11/2018,0,0,0,0,1: PDO,Full,1,,100,Hit Fixed Object,Not Divided,Daylight,Y,Not Raining
2017-548-8/11/2018,2,0,0,2,2: MI,Full,1,,110,Roll Over,Not Divided,Daylight,,Not Raining
2017-549-8/11/2018,0,0,0,0,1: PDO,Full,3,,50,Hit Parked Vehicle,Not Divided,Daylight,,Not Raining
2017-550-8/11/2018,1,0,1,0,3: SI,Full,1,,100,Rear End,Not Divided,Daylight,,Not Raining
2017-551-8/11/2018,0,0,0,0,1: PDO,Full,1,,25,Rear End,Not Divided,Daylight,,Not Raining
2017-552-8/11/2018,0,0,0,0,1: PDO,Full,1,,80,Rear End,Divided Road,Daylight,,Not Raining
2017-553-8/11/2018,0,0,0,0,1: PDO,Full,1,,110,Hit Animal,Not Divided,Daylight,,Not Raining
2017-554-8/11/2018,1,0,0,1,2: MI,,1,,60,Rear End,Divided Road,Daylight,,Not Raining
2017-555-8/11/2018,1,0,0,1,2: MI,Full,1,,80,Left Road - Out of Control,Not Divided,Daylight,,Not Raining
2017-556-8/11/2018,2,0,0,2,2: MI,Full,1,,50,Right Angle,Cross Road,Daylight,,Not Raining
2017-557-8/11/2018,0,0,0,0,1: PDO,,0,,50,Hit Fixed Object,Not Divided,Daylight,,Not Raining
2017-558-8/11/2018,0,0,0,0,1: PDO,Full,1,,50,Head On,Not Divided,Daylight,,Not Raining
2017-559-8/11/2018,0,0,0,0,1: PDO,Unknown,1,,50,Hit Fixed Object,Cross Road,Daylight,,Not Raining
2017-560-8/11/2018,0,0,0,0,1: PDO,Probationary,1,,60,Side Swipe,Not Divided,Daylight,,Not Raining
2017-561-8/11/2018,0,0,0,0,1: PDO,,,,100,Head On,Not Divided,Daylight,,Not Raining
2017-562-8/11/2018,2,0,1,1,3: SI,Full,1,,60,Side Swipe,Divided Road,Daylight,,Not Raining
2017-563-8/11/2018,0,0,0,0,1: PDO,,1,,60,Rear End,Not Divided,Daylight,,Not Raining
2017-564-8/11/2018,1,0,0,1,2: MI,Full,1,,50,Side Swipe,Not Divided,Daylight,,Not Raining
2017-565-8/11/2018,0,0,0,0,1: PDO,,1,,100,Hit Fixed Object,Not Divided,Night,,Not Raining
2017-566-8/11/2018,1,0,1,0,3: SI,Unknown,1,,100,Hit Object on Road,Not Divided,Night,,Not Raining
2017-567-8/11/2018,0,0,0,0,1: PDO,Unknown,1,,110,Rear End,Freeway,Daylight,,Not Raining
2017-568-8/11/2018,0,0,0,0,1: PDO,Unknown,1,,60,Rear End,Not Divided,Daylight,,Not Raining
2017-569-8/11/2018,1,0,0,1,2: MI,Full,1,,60,Right Angle,T-Junction,Night,,Not Raining
2017-570-8/11/2018,0,0,0,0,1: PDO,,1,,60,Rear End,Divided Road,Night,,Raining
2017-571-8/11/2018,0,0,0,0,1: PDO,Full,1,,60,Hit Fixed Object,Divided Road,Daylight,,Not Raining
2017-572-8/11/2018,1,0,0,1,2: MI,Full,1,,60,Rear End,Not Divided,Night,,Raining
2017-573-8/11/2018,0,0,0,0,1: PDO,Full,1,,60,Right Angle,Cross Road,Night,,Raining
2017-574-8/11/2018,1,0,0,1,2: MI,Full,5,,50,Hit Parked Vehicle,Not Divided,Daylight,,Not Raining
2017-575-8/11/2018,0,0,0,0,1: PDO,Full,1,,60,Right Angle,Cross Road,Night,,Raining
2017-576-8/11/2018,0,0,0,0,1: PDO,Unlicenced,1,,60,Right Turn,T-Junction,Night,,Unknown
2017-577-8/11/2018,1,0,0,1,2: MI,Full,1,,60,Side Swipe,Divided Road,Daylight,,Not Raining
2017-578-8/11/2018,0,0,0,0,1: PDO,Unknown,5,,100,Hit Animal,Not Divided,Daylight,,Not Raining
2017-579-8/11/2018,0,0,0,0,1: PDO,Full,1,,100,Hit Object on Road,T-Junction,Night,,Unknown
2017-580-8/11/2018,0,0,0,0,1: PDO,,,,60,Side Swipe,Divided Road,Daylight,,Not Raining
2017-581-8/11/2018,1,0,0,1,2: MI,Full,1,,60,Side Swipe,Cross Road,Daylight,,Not Raining
2017-582-8/11/2018,0,0,0,0,1: PDO,Provisional 1 ,2,,80,Rear End,T-Junction,Daylight,,Not Raining
2017-583-8/11/2018,0,0,0,0,1: PDO,Provisional 1 ,1,,50,Right Angle,T-Junction,Daylight,,Not Raining
2017-584-8/11/2018,0,0,0,0,1: PDO,Full,1,,50,Right Angle,Not Divided,Daylight,,Not Raining
2017-585-8/11/2018,0,0,0,0,1: PDO,Full,2,,110,Left Road - Out of Control,T-Junction,Daylight,,Unknown
2017-586-8/11/2018,0,0,0,0,1: PDO,Full,1,,60,Rear End,Divided Road,Daylight,,Not Raining
2017-587-8/11/2018,1,0,0,1,2: MI,Full,1,,80,Rear End,Not Divided,Daylight,,Not Raining
2017-588-8/11/2018,0,0,0,0,1: PDO,Full,1,,60,Right Angle,T-Junction,Daylight,,Not Raining
2017-589-8/11/2018,0,0,0,0,1: PDO,Unknown,1,,60,Right Angle,Cross Road,Night,,Unknown
2017-590-8/11/2018,0,0,0,0,1: PDO,Full,1,,110,Head On,Not Divided,Daylight,,Not Raining
2017-591-8/11/2018,0,0,0,0,1: PDO,,,,60,Rear End,Divided Road,Daylight,,Not Raining
2017-592-8/11/2018,1,0,0,1,2: MI,Full,1,,60,Right Angle,Cross Road,Night,,Raining
2017-593-8/11/2018,0,0,0,0,1: PDO,Full,2,,60,Rear End,Divided Road,Night,,Raining
2017-594-8/11/2018,1,0,0,1,2: MI,Full,1,,60,Rear End,T-Junction,Daylight,,Not Raining
2017-595-8/11/2018,0,0,0,0,1: PDO,,,,60,Other,Divided Road,Night,,Raining
2017-596-8/11/2018,0,0,0,0,1: PDO,Full,1,,60,Rear End,Divided Road,Daylight,,Not Raining
2017-597-8/11/2018,0,0,0,0,1: PDO,Full,1,,50,Right Turn,Multiple,Daylight,,Not Raining
2017-598-8/11/2018,3,0,0,3,2: MI,Full,1,,90,Head On,Not Divided,Night,,Raining
2017-599-8/11/2018,0,0,0,0,1: PDO,Full,26,,60,Rear End,Not Divided,Daylight,,Not Raining
2017-600-8/11/2018,2,0,0,2,2: MI,Full,1,,60,Hit Fixed Object,Divided Road,Night,Y,Raining
2017-601-8/11/2018,1,0,0,1,2: MI,Unknown,1,,60,Hit Fixed Object,Pedestrian Crossing,Night,,Raining
2017-602-8/11/2018,0,0,0,0,1: PDO,Full,1,,50,Hit Parked Vehicle,Not Divided,Daylight,,Not Raining
2017-603-8/11/2018,0,0,0,0,1: PDO,Full,1,,60,Right Angle,T-Junction,Daylight,,Unknown
2017-604-8/11/2018,1,0,0,1,2: MI,Provisional 2,1,,60,Rear End,Cross Road,Daylight,,Not Raining
2017-605-8/11/2018,1,0,0,1,2: MI,Unknown,2,,60,Hit Object on Road,Divided Road,Night,,Raining
2017-606-8/11/2018,0,0,0,0,1: PDO,Full,1,,60,Side Swipe,Divided Road,Daylight,,Not Raining
2017-607-8/11/2018,0,0,0,0,1: PDO,Full,1,,60,Rear End,Not Divided,Daylight,,Not Raining
2017-608-8/11/2018,1,0,0,1,2: MI,Full,1,,60,Side Swipe,Divided Road,Daylight,,Not Raining
2017-609-8/11/2018,0,0,0,0,1: PDO,Full,1,,60,Side Swipe,T-Junction,Daylight,,Not Raining
2017-610-8/11/2018,0,0,0,0,1: PDO,Full,1,,60,Side Swipe,Not Divided,Daylight,,Not Raining
2017-611-8/11/2018,1,0,0,1,2: MI,Full,2,,60,Rear End,Not Divided,Daylight,,Not Raining
2017-612-8/11/2018,0,0,0,0,1: PDO,Full,15,,60,Right Angle,T-Junction,Daylight,,Not Raining
2017-613-8/11/2018,1,0,0,1,2: MI,Full,2,,60,Rear End,Divided Road,Daylight,,Not Raining
2017-614-8/11/2018,0,0,0,0,1: PDO,Full,1,,60,Right Angle,T-Junction,Daylight,,Not Raining
2017-615-8/11/2018,0,0,0,0,1: PDO,,1,,60,Hit Parked Vehicle,Divided Road,Daylight,,Not Raining
2017-616-8/11/2018,1,0,0,1,2: MI,Provisional 1 ,2,,60,Side Swipe,Divided Road,Daylight,,Not Raining
2017-617-8/11/2018,1,0,0,1,2: MI,,,,60,Rear End,Cross Road,Daylight,,Not Raining
2017-618-8/11/2018,1,0,0,1,2: MI,Full,1,,60,Right Angle,T-Junction,Night,,Not Raining
2017-619-8/11/2018,0,0,0,0,1: PDO,Unknown,1,,60,Right Angle,Cross Road,Night,,Not Raining
2017-620-8/11/2018,1,0,0,1,2: MI,Full,1,,60,Right Turn,T-Junction,Night,,Not Raining
2017-621-8/11/2018,1,0,0,1,2: MI,Full,1,,60,Roll Over,Not Divided,Night,Y,Not Raining
2017-622-8/11/2018,4,0,2,2,3: SI,Full,1,,60,Rear End,Divided Road,Night,,Not Raining
2017-623-8/11/2018,0,0,0,0,1: PDO,Provisional 1 ,1,,60,Right Turn,Cross Road,Daylight,,Not Raining
2017-624-8/11/2018,1,0,0,1,2: MI,Full,1,,50,Side Swipe,Divided Road,Daylight,,Not Raining
2017-625-8/11/2018,0,0,0,0,1: PDO,Full,1,,90,Hit Fixed Object,Divided Road,Daylight,,Not Raining
2017-626-8/11/2018,0,0,0,0,1: PDO,Full,1,,60,Right Angle,Cross Road,Daylight,,Not Raining
2017-627-8/11/2018,1,0,0,1,2: MI,Unlicenced,4,,60,Rear End,Divided Road,Daylight,,Not Raining
2017-628-8/11/2018,1,0,0,1,2: MI,,,,60,Rear End,Divided Road,Daylight,,Not Raining
2017-629-8/11/2018,0,0,0,0,1: PDO,,,,60,Rear End,Divided Road,Daylight,,Not Raining
2017-630-8/11/2018,1,0,0,1,2: MI,Full,1,,80,Head On,Not Divided,Daylight,,Not Raining
2017-631-8/11/2018,0,0,0,0,1: PDO,,,,60,Rear End,Cross Road,Daylight,,Not Raining
2017-632-8/11/2018,1,0,0,1,2: MI,Unknown,1,,60,Rear End,Divided Road,Daylight,,Not Raining
2017-633-8/11/2018,0,0,0,0,1: PDO,,,,60,Rear End,Divided Road,Daylight,,Not Raining
2017-634-8/11/2018,1,0,0,1,2: MI,Provisional 2,1,,50,Hit Fixed Object,Not Divided,Daylight,,Not Raining
2017-635-8/11/2018,0,0,0,0,1: PDO,,0,,60,Side Swipe,Divided Road,Daylight,,Not Raining
2017-636-8/11/2018,0,0,0,0,1: PDO,Full,1,,60,Right Turn,T-Junction,Daylight,,Not Raining
2017-637-8/11/2018,0,0,0,0,1: PDO,Full,1,,50,Right Turn,Not Divided,Daylight,,Not Raining
2017-638-8/11/2018,0,0,0,0,1: PDO,Full,3,,60,Side Swipe,T-Junction,Daylight,,Not Raining
2017-639-8/11/2018,1,0,0,1,2: MI,,,,60,Hit Pedestrian,T-Junction,Daylight,,Not Raining
2017-640-8/11/2018,1,0,0,1,2: MI,Probationary,2,,50,Side Swipe,Not Divided,Daylight,,Not Raining
2017-641-8/11/2018,0,0,0,0,1: PDO,Full,1,Y,50,Hit Parked Vehicle,Not Divided,Daylight,Y,Not Raining
2017-642-8/11/2018,0,0,0,0,1: PDO,Full,1,Y,60,Right Angle,Not Divided,Night,,Not Raining
2017-643-8/11/2018,1,0,0,1,2: MI,,1,,100,Left Road - Out of Control,Not Divided,Daylight,,Not Raining
2017-644-8/11/2018,1,0,0,1,2: MI,Full,1,,60,Right Angle,Cross Road,Daylight,,Not Raining
2017-645-8/11/2018,0,0,0,0,1: PDO,Full,1,,60,Hit Fixed Object,Not Divided,Night,,Not Raining
2017-646-8/11/2018,1,0,0,1,2: MI,Learners,1,,60,Rear End,Cross Road,Daylight,,Not Raining
2017-647-8/11/2018,0,0,0,0,1: PDO,Full,8,,50,Hit Fixed Object,Not Divided,Daylight,,Not Raining
2017-648-8/11/2018,2,0,1,1,3: SI,Full,1,,60,Roll Over,Divided Road,Daylight,,Not Raining
2017-649-8/11/2018,0,0,0,0,1: PDO,Probationary,1,,70,Roll Over,Divided Road,Daylight,,Not Raining
2017-650-8/11/2018,1,0,1,0,3: SI,,,,100,Rear End,Not Divided,Daylight,,Not Raining
2017-651-8/11/2018,1,0,0,1,2: MI,Full,2,,60,Right Turn,Cross Road,Daylight,,Not Raining
2017-652-8/11/2018,2,0,0,2,2: MI,Unknown,1,,60,Right Angle,Cross Road,Daylight,,Not Raining
2017-653-8/11/2018,1,0,0,1,2: MI,Full,1,,60,Hit Pedestrian,Cross Road,Daylight,,Not Raining
2017-654-8/11/2018,1,0,0,1,2: MI,Full,1,Y,50,Hit Fixed Object,T-Junction,Daylight,Y,Not Raining
2017-655-8/11/2018,1,0,1,0,3: SI,,,,60,Side Swipe,Divided Road,Daylight,Y,Not Raining
2017-656-8/11/2018,5,0,0,5,2: MI,Learners,1,,110,Right Angle,T-Junction,Daylight,,Not Raining
2017-657-8/11/2018,0,0,0,0,1: PDO,,,,50,Hit Fixed Object,Not Divided,Night,,Not Raining
2017-658-8/11/2018,0,0,0,0,1: PDO,Unlicenced,1,,60,Side Swipe,Divided Road,Night,,Not Raining
2017-659-8/11/2018,0,0,0,0,1: PDO,Full,1,,60,Hit Parked Vehicle,Divided Road,Night,,Not Raining
2017-660-8/11/2018,2,0,2,0,3: SI,Full,1,Y,80,Roll Over,Not Divided,Night,Y,Not Raining
2017-661-8/11/2018,0,0,0,0,1: PDO,Full,2,,80,Right Angle,Cross Road,Daylight,,Not Raining
2017-662-8/11/2018,1,0,0,1,2: MI,Full,1,,80,Hit Fixed Object,Not Divided,Daylight,,Not Raining
2017-663-8/11/2018,0,0,0,0,1: PDO,,,,50,Hit Fixed Object,Not Divided,Daylight,,Not Raining
2017-664-8/11/2018,0,0,0,0,1: PDO,Full,3,,60,Rear End,T-Junction,Daylight,,Not Raining
2017-665-8/11/2018,0,0,0,0,1: PDO,Full,1,,50,Hit Parked Vehicle,Not Divided,Daylight,,Not Raining
2017-666-8/11/2018,1,0,0,1,2: MI,Full,1,,100,Hit Fixed Object,Not Divided,Daylight,,Not Raining
2017-667-8/11/2018,0,0,0,0,1: PDO,Full,1,,60,Right Angle,Cross Road,Night,,Raining
2017-668-8/11/2018,0,0,0,0,1: PDO,Unknown,2,,110,Rear End,Freeway,Daylight,,Not Raining
2017-669-8/11/2018,0,0,0,0,1: PDO,,,,60,Roll Over,Divided Road,Daylight,,Not Raining
2017-670-8/11/2018,1,0,0,1,2: MI,Full,1,,60,Right Angle,Cross Road,Night,,Not Raining
2017-671-8/11/2018,1,0,0,1,2: MI,,,,80,Right Angle,Not Divided,Daylight,,Not Raining
2017-672-8/11/2018,0,0,0,0,1: PDO,,0,,60,Hit Fixed Object,T-Junction,Daylight,,Not Raining
2017-673-8/11/2018,0,0,0,0,1: PDO,Full,1,,50,Rear End,Divided Road,Daylight,,Not Raining
2017-674-8/11/2018,0,0,0,0,1: PDO,Full,2,,60,Hit Object on Road,Divided Road,Daylight,,Not Raining
2017-675-8/11/2018,0,0,0,0,1: PDO,Full,1,,60,Right Angle,T-Junction,Daylight,,Not Raining
2017-676-8/11/2018,0,0,0,0,1: PDO,Full,2,,100,Hit Fixed Object,Not Divided,Daylight,,Not Raining
2017-677-8/11/2018,0,0,0,0,1: PDO,Full,1,,60,Hit Parked Vehicle,Not Divided,Daylight,,Not Raining
2017-678-8/11/2018,0,0,0,0,1: PDO,Full,1,,60,Side Swipe,Divided Road,Daylight,,Not Raining
2017-679-8/11/2018,1,0,0,1,2: MI,Full,1,,100,Hit Fixed Object,Not Divided,Daylight,,Not Raining
2017-680-8/11/2018,0,0,0,0,1: PDO,Unlicenced,1,,80,Side Swipe,Freeway,Daylight,,Not Raining
2017-681-8/11/2018,0,0,0,0,1: PDO,Full,1,,60,Rear End,Cross Road,Daylight,,Not Raining
2017-682-8/11/2018,1,0,0,1,2: MI,Full,2,,60,Rear End,Divided Road,Daylight,,Not Raining
2017-683-8/11/2018,1,0,0,1,2: MI,,,,60,Side Swipe,Cross Road,Daylight,,Not Raining
2017-684-8/11/2018,2,0,0,2,2: MI,Full,1,,50,Right Angle,Cross Road,Night,,Not Raining
2017-685-8/11/2018,0,0,0,0,1: PDO,Unknown,1,,40,Right Turn,Not Divided,Daylight,,Not Raining
2017-686-8/11/2018,0,0,0,0,1: PDO,Full,1,,60,Side Swipe,Cross Road,Daylight,,Not Raining
2017-687-8/11/2018,1,0,0,1,2: MI,,,,50,Right Angle,Not Divided,Daylight,,Not Raining
2017-688-8/11/2018,0,0,0,0,1: PDO,Unlicenced,1,,60,Hit Fixed Object,Divided Road,Daylight,,Not Raining
2017-689-8/11/2018,0,0,0,0,1: PDO,,,,100,Hit Fixed Object,Not Divided,Night,,Not Raining
2017-690-8/11/2018,1,0,0,1,2: MI,Full,1,,100,Hit Fixed Object,T-Junction,Daylight,,Not Raining
2017-691-8/11/2018,0,0,0,0,1: PDO,Full,1,,60,Right Turn,Cross Road,Daylight,,Not Raining
2017-692-8/11/2018,0,0,0,0,1: PDO,Unknown,1,,60,Right Angle,T-Junction,Daylight,,Not Raining
2017-693-8/11/2018,0,0,0,0,1: PDO,Full,2,,60,Right Angle,T-Junction,Daylight,,Raining
2017-694-8/11/2018,1,0,0,1,2: MI,Full,1,,50,Side Swipe,Not Divided,Daylight,,Not Raining
2017-695-8/11/2018,1,0,0,1,2: MI,Full,1,,50,Side Swipe,Not Divided,Daylight,,Not Raining
2017-696-8/11/2018,0,0,0,0,1: PDO,Full,1,,60,Right Angle,T-Junction,Daylight,,Not Raining
2017-697-8/11/2018,1,0,0,1,2: MI,Full,1,,60,Rear End,Cross Road,Daylight,,Raining
2017-698-8/11/2018,1,0,0,1,2: MI,Full,1,,50,Right Angle,Divided Road,Daylight,,Raining
2017-699-8/11/2018,0,0,0,0,1: PDO,Full,1,,50,Hit Fixed Object,T-Junction,Daylight,,Not Raining
2017-700-8/11/2018,1,0,0,1,2: MI,Full,1,,100,Side Swipe,Freeway,Daylight,,Not Raining
2017-701-8/11/2018,0,0,0,0,1: PDO,Unknown,2,,110,Hit Fixed Object,Not Divided,Daylight,,Not Raining
2017-702-8/11/2018,0,0,0,0,1: PDO,Full,1,,60,Right Angle,T-Junction,Daylight,,Not Raining
2017-703-8/11/2018,0,0,0,0,1: PDO,,0,,90,Hit Fixed Object,Not Divided,Daylight,,Raining
2017-704-8/11/2018,1,0,0,1,2: MI,Unknown,1,,50,Right Angle,Cross Road,Daylight,,Raining
2017-705-8/11/2018,0,0,0,0,1: PDO,Unknown,1,,60,Right Angle,T-Junction,Daylight,,Raining
2017-706-8/11/2018,0,0,0,0,1: PDO,,,,60,Rear End,Divided Road,Daylight,,Raining
2017-707-8/11/2018,0,0,0,0,1: PDO,,,,60,Hit Fixed Object,T-Junction,Daylight,,Raining
2017-708-8/11/2018,1,0,0,1,2: MI,Unknown,2,,60,Rear End,Divided Road,Daylight,,Not Raining
2017-709-8/11/2018,1,0,0,1,2: MI,Unknown,1,,80,Roll Over,Not Divided,Daylight,Y,Not Raining
2017-710-8/11/2018,1,0,0,1,2: MI,Unlicenced,1,,60,Rear End,Divided Road,Daylight,,Not Raining
2017-711-8/11/2018,2,0,0,2,2: MI,Full,1,,50,Hit Fixed Object,Not Divided,Daylight,,Raining
2017-712-8/11/2018,0,0,0,0,1: PDO,Full,1,,60,Rear End,Divided Road,Daylight,,Raining
2017-713-8/11/2018,2,0,0,2,2: MI,,,,100,Side Swipe,Not Divided,Daylight,,Raining
2017-714-8/11/2018,0,0,0,0,1: PDO,Full,1,,60,Hit Fixed Object,T-Junction,Night,,Raining
2017-715-8/11/2018,0,0,0,0,1: PDO,Full,1,,50,Hit Fixed Object,Divided Road,Daylight,,Not Raining
2017-716-8/11/2018,1,0,0,1,2: MI,Unknown,4,,80,Head On,Not Divided,Daylight,,Raining
2017-717-8/11/2018,1,0,0,1,2: MI,,,,60,Right Angle,Cross Road,Daylight,,Not Raining
2017-718-8/11/2018,3,0,0,3,2: MI,Full,1,,80,Right Angle,Cross Road,Daylight,,Raining
2017-719-8/11/2018,1,0,0,1,2: MI,,,,60,Rear End,T-Junction,Daylight,,Not Raining
2017-720-8/11/2018,0,0,0,0,1: PDO,Full,1,,50,Hit Parked Vehicle,Not Divided,Daylight,,Not Raining
2017-721-8/11/2018,0,0,0,0,1: PDO,,,,50,Right Angle,Not Divided,Daylight,,Not Raining
2017-722-8/11/2018,0,0,0,0,1: PDO,Full,1,,60,Right Angle,Cross Road,Daylight,,Not Raining
2017-723-8/11/2018,1,0,0,1,2: MI,Full,1,,60,Rear End,Divided Road,Daylight,,Not Raining
2017-724-8/11/2018,0,0,0,0,1: PDO,Full,1,,60,Side Swipe,Cross Road,Daylight,,Not Raining
2017-725-8/11/2018,1,0,0,1,2: MI,Full,2,,80,Roll Over,Not Divided,Daylight,,Not Raining
2017-726-8/11/2018,2,0,1,1,3: SI,Full,1,Y,60,Right Angle,Cross Road,Daylight,,Not Raining
2017-727-8/11/2018,0,0,0,0,1: PDO,Full,1,,60,Rear End,T-Junction,Daylight,,Not Raining
2017-728-8/11/2018,1,0,1,0,3: SI,Provisional 2,1,Y,110,Hit Fixed Object,Not Divided,Daylight,,Not Raining
2017-729-8/11/2018,1,0,0,1,2: MI,Full,3,,100,Hit Fixed Object,Not Divided,Daylight,,Not Raining
2017-730-8/11/2018,0,0,0,0,1: PDO,Unknown,2,,60,Side Swipe,Divided Road,Daylight,,Not Raining
2017-731-8/11/2018,0,0,0,0,1: PDO,,,,50,Right Turn,Cross Road,Daylight,,Not Raining
2017-732-8/11/2018,0,0,0,0,1: PDO,Unknown,1,,50,Right Angle,Cross Road,Daylight,,Not Raining
2017-733-8/11/2018,1,0,0,1,2: MI,,,,60,Right Angle,Cross Road,Daylight,,Not Raining
2017-734-8/11/2018,1,0,0,1,2: MI,,,,60,Hit Pedestrian,Cross Road,Daylight,,Not Raining
2017-735-8/11/2018,2,0,0,2,2: MI,Full,1,,90,Rear End,Freeway,Daylight,,Not Raining
2017-736-8/11/2018,1,0,0,1,2: MI,Full,4,,60,Rear End,Cross Road,Daylight,,Not Raining
2017-737-8/11/2018,0,0,0,0,1: PDO,Full,1,,60,Side Swipe,T-Junction,Daylight,,Not Raining
2017-738-8/11/2018,1,0,0,1,2: MI,,,,60,Rear End,Not Divided,Daylight,,Not Raining
2017-739-8/11/2018,0,0,0,0,1: PDO,Full,1,,60,Head On,Not Divided,Daylight,,Raining
2017-740-8/11/2018,1,0,0,1,2: MI,Unknown,1,,90,Rear End,T-Junction,Daylight,,Not Raining
2017-741-8/11/2018,0,0,0,0,1: PDO,Full,1,,60,Right Angle,Divided Road,Daylight,,Not Raining
2017-742-8/11/2018,0,0,0,0,1: PDO,Full,1,,60,Rear End,Divided Road,Daylight,,Not Raining
2017-743-8/11/2018,1,0,0,1,2: MI,Full,1,,60,Rear End,Divided Road,Daylight,,Not Raining
2017-744-8/11/2018,0,0,0,0,1: PDO,Unknown,1,,70,Right Angle,Cross Road,Daylight,,Not Raining
2017-745-8/11/2018,1,0,0,1,2: MI,Unknown,2,,50,Hit Fixed Object,Not Divided,Daylight,Y,Not Raining
2017-746-8/11/2018,1,0,0,1,2: MI,,0,,100,Hit Fixed Object,Not Divided,Daylight,,Not Raining
2017-747-8/11/2018,1,0,0,1,2: MI,Full,1,,50,Right Angle,Cross Road,Night,,Not Raining
2017-748-8/11/2018,0,0,0,0,1: PDO,Unknown,1,,50,Hit Parked Vehicle,Not Divided,Night,Y,Not Raining
2017-749-8/11/2018,0,0,0,0,1: PDO,Full,2,,60,Hit Fixed Object,T-Junction,Night,,Not Raining
2017-750-8/11/2018,0,0,0,0,1: PDO,Unknown,1,,60,Hit Fixed Object,Not Divided,Night,,Not Raining
2017-751-8/11/2018,0,0,0,0,1: PDO,Full,1,,50,Hit Fixed Object,Not Divided,Night,,Not Raining
2017-752-8/11/2018,1,0,0,1,2: MI,Provisional 1 ,3,Y,50,Right Turn,T-Junction,Night,,Not Raining
2017-753-8/11/2018,0,0,0,0,1: PDO,Full,1,,100,Rear End,Not Divided,Daylight,,Not Raining
2017-754-8/11/2018,0,0,0,0,1: PDO,Full,1,,50,Hit Parked Vehicle,Not Divided,Daylight,,Not Raining
2017-755-8/11/2018,1,0,0,1,2: MI,Full,1,,60,Rear End,Cross Road,Daylight,,Not Raining
2017-756-8/11/2018,0,0,0,0,1: PDO,Unknown,1,,60,Right Turn,T-Junction,Daylight,,Not Raining
2017-757-8/11/2018,0,0,0,0,1: PDO,Full,1,,60,Side Swipe,T-Junction,Daylight,,Not Raining
2017-758-8/11/2018,1,0,0,1,2: MI,Full,1,,100,Left Road - Out of Control,Cross Road,Daylight,,Not Raining
2017-759-8/11/2018,1,0,0,1,2: MI,Full,1,,70,Rear End,Divided Road,Daylight,,Not Raining
2017-760-8/11/2018,0,0,0,0,1: PDO,Full,3,,60,Right Turn,T-Junction,Daylight,,Not Raining
2017-761-8/11/2018,1,0,0,1,2: MI,Full,2,,60,Rear End,T-Junction,Daylight,,Not Raining
2017-762-8/11/2018,0,0,0,0,1: PDO,Full,1,,60,Rear End,Not Divided,Daylight,,Not Raining
2017-763-8/11/2018,0,0,0,0,1: PDO,Provisional 2,2,,50,Hit Parked Vehicle,Not Divided,Daylight,,Not Raining
2017-764-8/11/2018,1,0,0,1,2: MI,Unknown,1,,80,Side Swipe,Not Divided,Daylight,,Not Raining
2017-765-8/11/2018,1,0,0,1,2: MI,Full,1,,60,Right Angle,T-Junction,Daylight,,Not Raining
2017-766-8/11/2018,0,0,0,0,1: PDO,Full,2,,100,Rear End,Freeway,Daylight,,Not Raining
2017-767-8/11/2018,1,0,0,1,2: MI,Full,1,,90,Right Angle,T-Junction,Daylight,,Not Raining
2017-768-8/11/2018,0,0,0,0,1: PDO,Full,1,,50,Right Angle,Cross Road,Daylight,,Not Raining
2017-769-8/11/2018,1,0,0,1,2: MI,Unknown,1,,100,Hit Fixed Object,Not Divided,Daylight,,Not Raining
2017-770-8/11/2018,0,0,0,0,1: PDO,Unknown,1,,50,Side Swipe,T-Junction,Daylight,,Not Raining
