REPORT_ID,Total Cas,Total Fats,Total SI,Total MI,CSEF Severity,Licence Type,Number Occupants,Drugs Involved,Area Speed,Crash Type,Position Type,DayNight,DUI Involved,Weather Cond
2017-54-8/11/2018,1,0,0,1,2: MI,Full,1,,50,Hit Fixed Object,Not Divided,Daylight,,Not Raining
2017-55-8/11/2018,0,0,0,0,1: PDO,Probationary,1,,60,Right Angle,Divided Road,Daylight,,Not Raining
2017-56-8/11/2018,0,0,0,0,1: PDO,,,,80,Side Swipe,Not Divided,Daylight,,Not Raining
2017-57-8/11/2018,1,0,0,1,2: MI,Full,1,,60,Rear End,T-Junction,Daylight,,Not Raining
2017-58-8/11/2018,0,0,0,0,1: PDO,,1,,60,Right Angle,T-Junction,Daylight,,Not Raining
2017-59-8/11/2018,2,0,0,2,2: MI,Unknown,1,,60,Right Turn,T-Junction,Daylight,,Not Raining
2017-60-8/11/2018,0,0,0,0,1: PDO,Unknown,1,,50,Hit Parked Vehicle,Not Divided,Daylight,Y,Not Raining
2017-61-8/11/2018,0,0,0,0,1: PDO,Full,1,,80,Right Angle,T-Junction,Daylight,,Not Raining
2017-62-8/11/2018,1,0,0,1,2: MI,,,,80,Hit Fixed Object,T-Junction,Daylight,,Not Raining
2017-63-8/11/2018,0,0,0,0,1: PDO,Full,1,,60,Rear End,Divided Road,Daylight,,Not Raining
2017-64-8/11/2018,0,0,0,0,1: PDO,Unknown,1,,60,Rear End,T-Junction,Daylight,,Not Raining
2017-65-8/11/2018,0,0,0,0,1: PDO,Full,2,,50,Hit Pedestrian,Not Divided,Daylight,,Not Raining
2017-66-8/11/2018,2,0,2,0,3: SI,Full,1,,100,Head On,Not Divided,Daylight,Y,Not Raining
2017-67-8/11/2018,0,0,0,0,1: PDO,,1,,110,Right Turn,Not Divided,Daylight,,Not Raining
2017-68-8/11/2018,0,0,0,0,1: PDO,,1,,50,Right Angle,Cross Road,Daylight,,Not Raining
2017-69-8/11/2018,0,0,0,0,1: PDO,Full,1,,50,Other,Not Divided,Daylight,,Not Raining
2017-70-8/11/2018,1,0,0,1,2: MI,Full,1,,80,Side Swipe,Divided Road,Daylight,,Not Raining
2017-71-8/11/2018,1,0,0,1,2: MI,Full,1,,70,Right Angle,Cross Road,Daylight,,Not Raining
2017-72-8/11/2018,1,0,0,1,2: MI,Full,1,,60,Rear End,Cross Road,Daylight,,Not Raining
2017-73-8/11/2018,0,0,0,0,1: PDO,Unknown,2,,60,Rear End,T-Junction,Daylight,,Not Raining
2017-74-8/11/2018,1,0,0,1,2: MI,,0,,60,Rear End,Divided Road,Daylight,,Not Raining
2017-75-8/11/2018,0,0,0,0,1: PDO,Full,2,,60,Hit Fixed Object,Divided Road,Daylight,,Not Raining
2017-76-8/11/2018,1,0,0,1,2: MI,Full,2,,60,Side Swipe,Divided Road,Daylight,,Not Raining
2017-77-8/11/2018,0,0,0,0,1: PDO,,,,50,Rear End,T-Junction,Daylight,,Not Raining
2017-78-8/11/2018,0,0,0,0,1: PDO,Full,1,,60,Side Swipe,Cross Road,Daylight,,Not Raining
2017-79-8/11/2018,1,0,0,1,2: MI,Unknown,1,,50,Right Turn,Cross Road,Daylight,,Not Raining
2017-80-8/11/2018,2,0,1,1,3: SI,Full,1,,110,Roll Over,Not Divided,Daylight,,Not Raining
2017-81-8/11/2018,5,0,1,4,3: SI,Full,1,,60,Right Angle,Cross Road,Daylight,,Not Raining
2017-82-8/11/2018,0,0,0,0,1: PDO,,0,,60,Right Turn,Cross Road,Daylight,,Not Raining
2017-83-8/11/2018,1,0,0,1,2: MI,,,,50,Hit Fixed Object,Not Divided,Daylight,,Not Raining
2017-84-8/11/2018,1,0,0,1,2: MI,Full,5,,50,Rear End,Not Divided,Daylight,,Not Raining
2017-85-8/11/2018,1,0,0,1,2: MI,,,,60,Rear End,Cross Road,Daylight,,Not Raining
2017-86-8/11/2018,4,0,0,4,2: MI,Provisional 2,1,,60,Right Angle,T-Junction,Daylight,,Not Raining
2017-87-8/11/2018,1,0,0,1,2: MI,,,,60,Side Swipe,Divided Road,Daylight,,Not Raining
2017-88-8/11/2018,2,0,0,2,2: MI,Full,2,,50,Rear End,Not Divided,Daylight,,Not Raining
2017-89-8/11/2018,1,0,0,1,2: MI,Unknown,1,,50,Hit Fixed Object,Cross Road,Daylight,Y,Not Raining
2017-90-8/11/2018,0,0,0,0,1: PDO,Full,1,,80,Hit Fixed Object,Not Divided,Night,,Not Raining
2017-91-8/11/2018,1,0,0,1,2: MI,Full,1,,60,Hit Parked Vehicle,Divided Road,Night,,Not Raining
2017-92-8/11/2018,0,0,0,0,1: PDO,Full,1,,60,Hit Fixed Object,Divided Road,Night,Y,Not Raining
2017-93-8/11/2018,1,0,0,1,2: MI,Full,2,Y,50,Roll Over,Not Divided,Night,Y,Not Raining
2017-94-8/11/2018,0,0,0,0,1: PDO,Unknown,1,,70,Hit Object on Road,Not Divided,Night,,Not Raining
2017-95-8/11/2018,0,0,0,0,1: PDO,Full,1,,50,Hit Fixed Object,Not Divided,Night,,Not Raining
2017-96-8/11/2018,3,0,2,1,3: SI,Unknown,1,,100,Hit Fixed Object,Not Divided,Daylight,,Not Raining
2017-97-8/11/2018,0,0,0,0,1: PDO,Learners,2,,50,Right Turn,T-Junction,Daylight,,Not Raining
2017-98-8/11/2018,0,0,0,0,1: PDO,,,,60,Hit Fixed Object,Not Divided,Daylight,,Not Raining
2017-99-8/11/2018,1,0,0,1,2: MI,Full,3,,60,Rear End,Cross Road,Daylight,,Not Raining
2017-100-8/11/2018,0,0,0,0,1: PDO,Unknown,1,,80,Rear End,Cross Road,Daylight,,Not Raining
2017-101-8/11/2018,0,0,0,0,1: PDO,Full,1,,50,Hit Fixed Object,Not Divided,Daylight,,Not Raining
2017-102-8/11/2018,0,0,0,0,1: PDO,Full,2,,50,Side Swipe,Not Divided,Daylight,,Not Raining
2017-103-8/11/2018,0,0,0,0,1: PDO,Full,1,,50,Right Angle,Not Divided,Daylight,,Not Raining
2017-104-8/11/2018,0,0,0,0,1: PDO,Unknown,2,,110,Roll Over,Not Divided,Daylight,,Not Raining
2017-105-8/11/2018,0,0,0,0,1: PDO,Unknown,1,,60,Rear End,Divided Road,Daylight,,Not Raining
2017-106-8/11/2018,1,0,0,1,2: MI,Provisional 2,1,,60,Rear End,Divided Road,Daylight,,Not Raining
2017-107-8/11/2018,0,0,0,0,1: PDO,,,,60,Right Angle,Divided Road,Daylight,,Not Raining
